window,r2,mse,mae,directional,best_params
0,-3.1248344782351785,0.024610723463705995,0.1312257494779492,0.35,"{'n_estimators': 400, 'max_depth': 5, 'min_samples_leaf': 2}"
1,-0.16613393195891257,0.0026052565076048525,0.037842289105395756,0.46,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 2}"
2,0.007012465725106054,0.0006184559825446811,0.017609000959004077,0.48,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_leaf': 1}"
3,-0.07530754893706582,0.001476418608055184,0.029088311417832132,0.4,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_leaf': 4}"
4,-0.08675201996754134,0.0023240237465640846,0.0282616784344636,0.47,"{'n_estimators': 400, 'max_depth': 5, 'min_samples_leaf': 1}"
5,-0.0016896363052569807,0.0006124545475464944,0.01811787089388612,0.5,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_leaf': 4}"
6,-0.031423191145988794,0.0005442948494575549,0.016391035327170206,0.49,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 4}"
7,-0.00232613894021072,0.0016436699279429032,0.024869949740111093,0.6,"{'n_estimators': 800, 'max_depth': 20, 'min_samples_leaf': 4}"
8,-0.0586356347369128,0.0006617390803061779,0.017297233516409875,0.5,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 1}"
9,-0.16857933291743676,0.0010871279147224968,0.021741928781623284,0.42,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 2}"
10,-0.6282595774082371,0.00034331367646330577,0.013192338779566928,0.53,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 4}"
11,-0.4879459964095123,0.001565984903111113,0.030195770402408662,0.38,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 2}"
12,-0.11563806711407243,0.0011220026257152684,0.02433320803461117,0.53,"{'n_estimators': 400, 'max_depth': 20, 'min_samples_leaf': 4}"
13,-0.6210809290711616,0.004673019799841348,0.05444614958326469,0.36,"{'n_estimators': 800, 'max_depth': 20, 'min_samples_leaf': 2}"
14,-0.08931059256970597,0.0019614855167955423,0.03431151108607384,0.58,"{'n_estimators': 400, 'max_depth': 5, 'min_samples_leaf': 4}"
15,-0.16041220435934878,0.0069485291467318465,0.06615950679980812,0.49,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 4}"
16,-0.19838856899401391,0.0021331684647274314,0.03511919467497149,0.45,"{'n_estimators': 800, 'max_depth': 10, 'min_samples_leaf': 4}"
17,-0.052293068153359545,0.0009020131765340661,0.021462882970054244,0.47,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 2}"
18,-0.12021804077545295,0.0017054966168877994,0.026591533962136326,0.44,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_leaf': 2}"
19,-0.0055888862214867885,0.0008635443494459894,0.01709453505285936,0.47,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_leaf': 1}"
20,-0.04456298433048089,0.0027865682052951035,0.035508690119989555,0.59,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 4}"
21,-0.016215823937044682,0.001160914173804289,0.02450260511664163,0.55,"{'n_estimators': 400, 'max_depth': 5, 'min_samples_leaf': 4}"
22,-0.0889441692526276,0.0009609140426977464,0.022257989171026074,0.42,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 4}"
23,-0.049940555741581294,0.0026389158503868967,0.033435429247596994,0.44,"{'n_estimators': 400, 'max_depth': 5, 'min_samples_leaf': 4}"
24,-0.1542037831803087,0.0005806504894441813,0.0177788485062878,0.45,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_leaf': 2}"
25,-0.17927388505352382,0.0009150873672998522,0.02221902849381346,0.43,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_leaf': 1}"
26,-0.2166917150713552,0.003463152623477967,0.04605520611392363,0.46,"{'n_estimators': 400, 'max_depth': 5, 'min_samples_leaf': 4}"
27,-0.05186834792603778,0.0022111210431330288,0.03545278699533536,0.49,"{'n_estimators': 400, 'max_depth': 5, 'min_samples_leaf': 4}"
28,-0.1452983367577243,0.0014989472695465713,0.028972598210217086,0.47,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 4}"
29,0.006688796630580085,0.0011870361527783844,0.02571961762913179,0.59,"{'n_estimators': 800, 'max_depth': 5, 'min_samples_leaf': 4}"
30,-0.09764683361336024,0.0012376700638602788,0.02543669856512002,0.5,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 2}"
