window,r2,mse,mae,directional,best_params
0,-18.802280946083204,0.1181498222258803,0.2513241853602377,0.33,{'alpha': 10.0}
1,-0.17824768531078727,0.0026323198095863642,0.03790351091478616,0.46,{'alpha': 100.0}
2,-0.1683483663801344,0.0007276748317004208,0.019344393828165034,0.46,{'alpha': 1.0}
3,-0.11502835512278509,0.001530956063351131,0.02884825555878506,0.53,{'alpha': 100.0}
4,-0.13516213240178798,0.0024275489747705957,0.03071410085674664,0.42,{'alpha': 100.0}
5,-0.05547857190063632,0.0006453422574908513,0.018428860581778755,0.56,{'alpha': 0.1}
6,-0.019349223831726103,0.0005379232666988133,0.01665779305741028,0.52,{'alpha': 100.0}
7,-0.06166508978895724,0.0017409772267118367,0.024697020521803666,0.54,{'alpha': 100.0}
8,-0.01833585474801902,0.0006365482228748395,0.01687011948904733,0.44,{'alpha': 0.1}
9,-0.3266418138536209,0.001234173246139597,0.0232184223666671,0.41,{'alpha': 0.1}
10,-0.06552743647565396,0.00022466328260218325,0.009545067761375281,0.49,{'alpha': 100.0}
11,0.03351751580673368,0.0010171719827333273,0.01908865933925758,0.56,{'alpha': 10.0}
12,-0.2533696498791367,0.0012605199478303813,0.027242371246943765,0.39,{'alpha': 1.0}
13,-0.27790447408308694,0.0036837598929238703,0.04877087686969911,0.38,{'alpha': 10.0}
14,-0.2518240412909274,0.002254118103062046,0.0364954435663831,0.57,{'alpha': 100.0}
15,-0.4585123446930093,0.008733547871950157,0.07365176377452631,0.48,{'alpha': 100.0}
16,0.006682697044638419,0.00176813531183062,0.03202067718591736,0.54,{'alpha': 100.0}
17,-0.03169258461710189,0.0008843546856107282,0.020844001563865285,0.46,{'alpha': 100.0}
18,-0.051297195419371056,0.0016005668047358041,0.025371871767268486,0.48,{'alpha': 100.0}
19,-0.0064825098997054464,0.0008643117442416464,0.017530759609188398,0.53,{'alpha': 100.0}
20,-0.039747790438653174,0.0027737227700244883,0.035470375691456515,0.58,{'alpha': 100.0}
21,-0.038295398016096494,0.0011861376449372489,0.024440382460802507,0.55,{'alpha': 100.0}
22,-0.04344543386346733,0.000920764717328348,0.021317247528118494,0.44,{'alpha': 100.0}
23,0.0019345192608752892,0.0025085332711871607,0.033557067515894774,0.48,{'alpha': 10.0}
24,-0.06897445504043764,0.0005377737879287403,0.016899113281211006,0.49,{'alpha': 100.0}
25,-0.04008450814406128,0.0008070798534504245,0.020640031143390795,0.42,{'alpha': 10.0}
26,-0.8906300531594116,0.005381429286909636,0.056310880449318666,0.44,{'alpha': 0.1}
27,-1.3828831886852049,0.005009032900570049,0.05626677609491476,0.49,{'alpha': 100.0}
28,-0.0006328644207533873,0.0013096115237433894,0.02804130305559662,0.46,{'alpha': 100.0}
29,0.009111516128594066,0.0011841409316005417,0.025835156257561467,0.47,{'alpha': 100.0}
30,-0.008727509741320638,0.001137407591555926,0.024870513233573727,0.46,{'alpha': 10.0}
31,-0.02597276100189938,0.0016468685637083876,0.028723214019066558,0.59,{'alpha': 1.0}
32,-0.14563695360043094,0.0008148412558186753,0.020454377246915855,0.45,{'alpha': 10.0}
33,-0.046614279029266514,0.0007152488500897212,0.01620929866065783,0.44,{'alpha': 100.0}
34,0.014864625934291054,0.0008966915993921286,0.02087506951728721,0.57,{'alpha': 100.0}
35,0.018571885537112975,0.0003975562698682136,0.013207859760429026,0.48,{'alpha': 100.0}
36,-0.18704733907636784,0.0004693809325023128,0.01506116010307428,0.41,{'alpha': 0.1}
37,-0.07205796649626994,0.0007088239687359037,0.01970936670769837,0.48,{'alpha': 0.1}
38,-0.09911442268963078,0.0007389001007947195,0.02157649102365647,0.47,{'alpha': 1.0}
39,0.013099221659193194,0.0008053429235885043,0.020481331386893908,0.57,{'alpha': 0.1}
