window,r2,mse,mae,directional,best_params
0,-19.549736221429907,0.122609495742505,0.3180600384584734,0.36,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 0.7}"
1,-0.25770142587880285,0.0028098271858794533,0.039506005897859,0.38,"{'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.01, 'subsample': 0.9, 'colsample_bytree': 1.0}"
2,-0.9273949568269777,0.0012004268942273565,0.025846046457617886,0.5,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}"
3,-0.31187943688326625,0.0018012365058294314,0.031171882947975654,0.55,"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.9}"
4,-0.05295198623117936,0.0022517422328473505,0.02855727875874906,0.49,"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.7, 'colsample_bytree': 1.0}"
5,-0.27878353144331447,0.0007818757035850478,0.022048302698595482,0.52,"{'n_estimators': 600, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 0.9}"
6,0.01849992258225197,0.0005179498012712967,0.015997354270764746,0.47,"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.01, 'subsample': 0.7, 'colsample_bytree': 0.9}"
7,-0.0067171807444152964,0.001650870601541561,0.024796386570824787,0.58,"{'n_estimators': 900, 'max_depth': 3, 'learning_rate': 0.01, 'subsample': 0.9, 'colsample_bytree': 0.9}"
8,-0.12313750532644874,0.0007020583432531078,0.01783538755830981,0.48,"{'n_estimators': 900, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.9, 'colsample_bytree': 0.7}"
9,-0.4089620636113407,0.0013107556731410406,0.02471989646268261,0.39,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 0.9}"
10,-1.1767446465813132,0.00045896011772838185,0.014506218929822871,0.59,"{'n_estimators': 900, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 0.7}"
11,-0.5532766292015752,0.0016347419580781198,0.030631441909615108,0.4,"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 0.9}"
